colony_name,population,founding_year,primary_resource,average_temperature,gravity_level,atmospheric_composition
Nova Elysium,127834,2185,Quantum Crystals,22.5,0.87,Nitrogen-Oxygen-Argon
Zephyr Station,58291,2201,Nebula Gas,-15.3,1.2,Helium-Methane
Lumina Prime,203756,2167,Photon Particles,31.8,1.05,Oxygen-Neon
Aquarius Depths,76102,2193,Hydro-Plasma,18.9,1.15,Oxygen-Hydrogen
Chronos Citadel,95478,2178,Temporal Ore,27.6,0.95,Nitrogen-Xenon
Gaia's Cradle,152309,2159,Bio-Luminescent Flora,29.2,1.02,Oxygen-Carbon Dioxide
Aether Keep,41567,2209,Cosmic Strings,-5.7,0.78,Helium-Neon
Vulcan's Forge,88923,2172,Plasma Crystals,45.6,1.3,Carbon Dioxide-Sulfur
Frost Haven,63745,2196,Cryo-Gel,-28.1,0.92,Nitrogen-Methane
Nebula Nexus,109876,2188,Dark Matter,12.4,0.85,Hydrogen-Helium
