text,label
" I`d have responded, if I were going",1
 Sooo SAD I will miss you here in San Diego!!!,0
my boss is bullying me...,0
 what interview! leave me alone,0
" Sons of ****, why couldn`t they put them on the releases we already bought",0
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1
2am feedings for the baby are fun when he is all smiles and coos,2
Soooo high,1
 Both of you,1
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1
I really really like the song Love Story by Taylor Swift,2
My Sharpie is running DANGERously low on ink,0
i want to go to music tonight but i lost my voice.,0
test test from the LG enV2,1
"Uh oh, I am sunburned",0
" S`ok, trying to plot alternatives as we speak *sigh*",0
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0
is back home now      gonna miss every one,0
Hes just not that into you,1
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2
is cleaning the house for her family who is comming later today..,1
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1
"the free fillin` app on my ipod is fun, im addicted",2
  I`m sorry.,0
On the way to Malaysia...no internet access to Twit,0
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2
Went to sleep and there is a power cut in Noida  Power back up not working too,0
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2
i hope unni will make the audition . fighting dahye unni !,2
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0
 That`s very funny.  Cute kids.,2
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1
im an avid fan of **** magazine and i love your magazines,2
MAYDAY?!,1
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0
:visiting my friendster and facebook,1
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0
 which case? I got a new one last week and I`m not thrilled at all with mine.,0
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1
" also bored at school, its my third freelesson( freistunde )",1
 hm... Both of us I guess...,1
 it is ****...u have dissappointed me that past few days,0
 romance zero is funny,2
 I`d rather do the early run..but I am a morning runner,1
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0
will be back later.  http://plurk.com/p/rp3k7,1
Aw. Torn ace of hearts  #Hunchback,0
 what fun are you speaking of?,1
"i lost all my friends, i`m alone and sleepy..i wanna go home",0
 haha yes,1
I give in to easily,0
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0
Is at a photoshoot.,1
  He`s awesome... Have you worked with him before? He`s a good friend.,2
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1
Chilliin,2
" If you know such agent, do let me know",1
I still smell of smoke  #kitchenfire,1
 a celtics-lakers rematch sounds better don`t you think? lol,2
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0
 My sources say no,1
I am sooo tired,0
" Hey, you change your twitter account, and you didn`t even tell me...",1
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,2
 lucky kid...i so wanna see loserville  pity im in oz....,2
fell asleep waiting for my ride!,1
Sick. With a flu like thing.,0
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0
Happy Star Wars day everyone! and Enjoy the holiday (UK),2
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1
i miss you bby      wish you were going tomorrow to make me do good.,0
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,2
 SWEEEEET - San Fran is awesome!!!!  Love it there,2
_Mounce yes and it lasts way past my bedtime!,1
 Hi  how are you doing ???  *just joined twitter...*,1
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0
eating ice cream and then getting ready for graduation.,1
Happy Mothers day to all you Mums out there,2
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0
 hemp cloth is marvelous but unfortunately no,0
Gonna read a story bout adam lambert online then bed. Nighty night,1
